Refid, Authors, Title, Linked Refid, Linked Authors, Linked Title,Linked Reason
1930,"Wasserman, D, Hoven, CW, Wasserman, C, Wall, M, Eisenberg, R, Hadlaczky, G, Kelleher, I, Sarchiapone, M, Apter, A, Balazs, J, Bobes, J, Brunner, R, Corcoran, P, Cosman, D, Guillemin, F, Haring, C, Iosue, M, Kaess, M, Kahn, JP, Keeley, H, Musa, GJ, Nemes, B, Postuvan, V, Saiz, P, Reiter-Theil, S, Varnik, A, Varnik, P, Carli, V","School-based suicide prevention programmes: the SEYLE cluster-randomised, controlled trial.",1851,"Wasserman, D, Carli, V, Hoven, CW, Sarchiapone, M, Wasserman, C",Methodology of the SEYLE trial on suicide prevention in schools - Authors' reply.,1850 is a reply to comments on 1930
1930,"Wasserman, D, Hoven, CW, Wasserman, C, Wall, M, Eisenberg, R, Hadlaczky, G, Kelleher, I, Sarchiapone, M, Apter, A, Balazs, J, Bobes, J, Brunner, R, Corcoran, P, Cosman, D, Guillemin, F, Haring, C, Iosue, M, Kaess, M, Kahn, JP, Keeley, H, Musa, GJ, Nemes, B, Postuvan, V, Saiz, P, Reiter-Theil, S, Varnik, A, Varnik, P, Carli, V","School-based suicide prevention programmes: the SEYLE cluster-randomised, controlled trial.",2435,"Wasserman, D, Carli, V, Wasserman, C, Apter, A, Balazs, J, Bobes, J, Bracale, R, Brunner, R, Bursztein-Lipsicas, C, Corcoran, P, Cosman, D, Durkee, T, Feldman, D, Gadoros, J, Guillemin, F, Haring, C, Kahn, JP, Kaess, M, Keeley, H, Marusic, D, Nemes, B, Postuvan, V, Reiter-Theil, S, Resch, F, Sáiz, P, Sarchiapone, M, Sisask, M, Varnik, A, Hoven, CW",Saving and empowering young lives in Europe (SEYLE): a randomized controlled trial.,2435 is the protocol
1930,"Wasserman, D, Hoven, CW, Wasserman, C, Wall, M, Eisenberg, R, Hadlaczky, G, Kelleher, I, Sarchiapone, M, Apter, A, Balazs, J, Bobes, J, Brunner, R, Corcoran, P, Cosman, D, Guillemin, F, Haring, C, Iosue, M, Kaess, M, Kahn, JP, Keeley, H, Musa, GJ, Nemes, B, Postuvan, V, Saiz, P, Reiter-Theil, S, Varnik, A, Varnik, P, Carli, V","School-based suicide prevention programmes: the SEYLE cluster-randomised, controlled trial.",1225,"Barzilay, S, Apter, A, Snir, A, Carli, V, Hoven, CW, Sarchiapone, M, Hadlaczky, G, Balazs, J, Kereszteny, A, Brunner, R, Kaess, M, Bobes, J, Saiz, PA, Cosman, D, Haring, C, Banzer, R, McMahon, E, Keeley, H, Kahn, JP, Postuvan, V, Podlogar, T, Sisask, M, Varnik, A, Wasserman, D",A longitudinal examination of the interpersonal theory of suicide and effects of school-based suicide prevention interventions in a multinational study of adolescents.,same study
1930,"Wasserman, D, Hoven, CW, Wasserman, C, Wall, M, Eisenberg, R, Hadlaczky, G, Kelleher, I, Sarchiapone, M, Apter, A, Balazs, J, Bobes, J, Brunner, R, Corcoran, P, Cosman, D, Guillemin, F, Haring, C, Iosue, M, Kaess, M, Kahn, JP, Keeley, H, Musa, GJ, Nemes, B, Postuvan, V, Saiz, P, Reiter-Theil, S, Varnik, A, Varnik, P, Carli, V","School-based suicide prevention programmes: the SEYLE cluster-randomised, controlled trial.",9487,"Erik, Rüütel; Merike, Sisask; Airi, Värnik; Peeter, Värnik; Vladimir, Carli; Hoven, Christina W.; Sarchiapone, Marco; Alan, Apter; Judit, Balazs; Maria, Balint; Bartollino, Silvia; Julio, Bobes; Romuald, Brunner; Paul, Corcoran; Doina, Cosman; Christian, Haring; Michael, Kaess; Jean-Pierre, Kahn; Helen, Keeley; Elaine, McMahon; Vita, Poštuvan; Pilar, A Sáiz; Šedivy, Nuša Zadravec; Alexandra, Tubiana; Danuta, Wasserman",THE INFLUENCE OF PARENTING ON ADOLESCENT ALCOHOL CONSUMPTION: RESULTS FROM THE SEYLE PROJECT,9487 cites the same dataset but is on parenting
1930,"Wasserman, D, Hoven, CW, Wasserman, C, Wall, M, Eisenberg, R, Hadlaczky, G, Kelleher, I, Sarchiapone, M, Apter, A, Balazs, J, Bobes, J, Brunner, R, Corcoran, P, Cosman, D, Guillemin, F, Haring, C, Iosue, M, Kaess, M, Kahn, JP, Keeley, H, Musa, GJ, Nemes, B, Postuvan, V, Saiz, P, Reiter-Theil, S, Varnik, A, Varnik, P, Carli, V","School-based suicide prevention programmes: the SEYLE cluster-randomised, controlled trial.",9497,"Kahn, J.-P.","Suicide prevention and mental health promotion in adolescents: Lessons learned from the SEYLE ""Saving and Empowering Young Lives in Europe"" program",9497 is a conference program or something but same study
1930,"Wasserman, D, Hoven, CW, Wasserman, C, Wall, M, Eisenberg, R, Hadlaczky, G, Kelleher, I, Sarchiapone, M, Apter, A, Balazs, J, Bobes, J, Brunner, R, Corcoran, P, Cosman, D, Guillemin, F, Haring, C, Iosue, M, Kaess, M, Kahn, JP, Keeley, H, Musa, GJ, Nemes, B, Postuvan, V, Saiz, P, Reiter-Theil, S, Varnik, A, Varnik, P, Carli, V","School-based suicide prevention programmes: the SEYLE cluster-randomised, controlled trial.",1646,"Wasserman, D","Review of health and risk-behaviours, mental health problems and suicidal behaviours in young Europeans on the basis of the results from the EU-funded Saving and Empowering Young Lives in Europe (SEYLE) study.",No Reason Supplied!
1930,"Wasserman, D, Hoven, CW, Wasserman, C, Wall, M, Eisenberg, R, Hadlaczky, G, Kelleher, I, Sarchiapone, M, Apter, A, Balazs, J, Bobes, J, Brunner, R, Corcoran, P, Cosman, D, Guillemin, F, Haring, C, Iosue, M, Kaess, M, Kahn, JP, Keeley, H, Musa, GJ, Nemes, B, Postuvan, V, Saiz, P, Reiter-Theil, S, Varnik, A, Varnik, P, Carli, V","School-based suicide prevention programmes: the SEYLE cluster-randomised, controlled trial.",9449,"Banzer, Raphaela; Haring, Christian; Buchheim, Anna; Oehler, Stefan; Carli, Vladimir; Wasserman, Camilla; Kaess, Michael; Apter, Alan; Balazs, Judit; Bobes, Julio; Brunner, Romuald; Corcoran, Paul; Cosman, Doina; Hoven, Christina W.; Kahn, Jean-Pierre; Keeley, Helen; Postuvan, Vita; Podlogar, Tina; Sisask, Merike; Värnik, Airi; Sarchiapone, Marco; Wasserman, Danuta",Factors associated with different smoking status in European adolescents: results of the SEYLE study,same study
1930,"Wasserman, D, Hoven, CW, Wasserman, C, Wall, M, Eisenberg, R, Hadlaczky, G, Kelleher, I, Sarchiapone, M, Apter, A, Balazs, J, Bobes, J, Brunner, R, Corcoran, P, Cosman, D, Guillemin, F, Haring, C, Iosue, M, Kaess, M, Kahn, JP, Keeley, H, Musa, GJ, Nemes, B, Postuvan, V, Saiz, P, Reiter-Theil, S, Varnik, A, Varnik, P, Carli, V","School-based suicide prevention programmes: the SEYLE cluster-randomised, controlled trial.",3712,"Koenig, Julian, Brunner, Romuald, Fischer-waldschmidt, Gloria, Parzer, Peter, Plener, Paul L, Park, Jiyeon, Wasserman, Camilla, Carli, Vladimir, Hoven, Christina W, Sarchiapone, Marco, Wasserman, Danuta, Resch, Franz, Kaess, Michael","Prospective risk for suicidal thoughts and behaviour in adolescents with onset, maintenance or cessation of direct self-injurious behaviour",3712 has the same registration as other SEYLE studies but sample does sound potentially slightly younger than described in main study
1930,"Wasserman, D, Hoven, CW, Wasserman, C, Wall, M, Eisenberg, R, Hadlaczky, G, Kelleher, I, Sarchiapone, M, Apter, A, Balazs, J, Bobes, J, Brunner, R, Corcoran, P, Cosman, D, Guillemin, F, Haring, C, Iosue, M, Kaess, M, Kahn, JP, Keeley, H, Musa, GJ, Nemes, B, Postuvan, V, Saiz, P, Reiter-Theil, S, Varnik, A, Varnik, P, Carli, V","School-based suicide prevention programmes: the SEYLE cluster-randomised, controlled trial.",7224,"Carli, Vladimir; Hoven, Christina W.; Wasserman, Camilla; Chiesa, Flaminia; Guffanti, Guia; Sarchiapone, Marco; Apter, Alan; Balazs, Judit; Brunner, Romuald; Corcoran, Paul; Cosman, Doina; Haring, Christian; Iosue, Miriam; Kaess, Michael; Kahn, Jean-Pierre; Keeley, Helen; Postuvan, Vita; Saiz, Pilar A.; Värnik, Airi; Wasserman, Danuta",A newly identified group of adolescents at “invisible” risk for psychopathology and suicidal behavior: findings from the SEYLE study,7224 cites the same sample as other SEYLE papers
1930,"Wasserman, D, Hoven, CW, Wasserman, C, Wall, M, Eisenberg, R, Hadlaczky, G, Kelleher, I, Sarchiapone, M, Apter, A, Balazs, J, Bobes, J, Brunner, R, Corcoran, P, Cosman, D, Guillemin, F, Haring, C, Iosue, M, Kaess, M, Kahn, JP, Keeley, H, Musa, GJ, Nemes, B, Postuvan, V, Saiz, P, Reiter-Theil, S, Varnik, A, Varnik, P, Carli, V","School-based suicide prevention programmes: the SEYLE cluster-randomised, controlled trial.",6450,Kaess,Saving and Empowering Young Lives in Europe: promoting health through the prevention of risk-taking and self-destructive behaviours - SEYLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,6450 seems to be the clinical trial registry or grant info
